Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,ReadProtected,WriteProtected,CalReg
BNKD_C7,4,16,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C8,4,18,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C9,4,20,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C10,4,22,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C11,4,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C12,4,26,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C13,4,28,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C14,4,30,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C15,4,32,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C16,4,34,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C17,4,36,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C18,4,38,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C19,4,40,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C20,4,42,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C21,4,44,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C22,4,46,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C23,4,48,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C24,4,50,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C25,4,52,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C26,4,54,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C27,4,56,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C28,4,58,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C29,4,60,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C30,4,62,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C31,4,64,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
PAGE,5,0,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C0,5,2,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C1,5,4,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C2,5,6,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C3,5,8,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C4,5,10,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C5,5,12,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C6,5,14,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C7,5,16,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C8,5,18,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C9,5,20,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C10,5,22,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C11,5,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C12,5,26,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C13,5,28,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C14,5,30,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C15,5,32,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C16,5,34,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C17,5,36,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C18,5,38,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C19,5,40,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C20,5,42,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C21,5,44,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C22,5,46,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C23,5,48,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C24,5,50,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C25,5,52,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C26,5,54,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C27,5,56,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C28,5,58,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C29,5,60,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C30,5,62,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKE_C31,5,64,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
PAGE,6,0,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
